iter	Logloss
0	0.6488490808
1	0.612640783
2	0.5941266797
3	0.584754386
4	0.5785253114
5	0.5744142808
6	0.5716865221
7	0.5684560114
8	0.5645233057
9	0.5622110428
10	0.5612416992
11	0.5604767476
12	0.5594596527
13	0.5577482953
14	0.5564856586
15	0.5554826432
16	0.5542897546
17	0.5529841097
18	0.5514142667
19	0.5502103493
20	0.5489265776
21	0.5481950551
22	0.5469903262
23	0.5460914268
24	0.5450062277
25	0.5438685314
26	0.5425518858
27	0.5416903166
28	0.5400002096
29	0.5391391585
30	0.5378912707
31	0.5368471278
32	0.5356029171
33	0.5346852506
34	0.5336427228
35	0.5326630299
36	0.5316074308
37	0.5303911392
38	0.5294124349
39	0.5285668816
40	0.5272878396
41	0.5262669358
42	0.5252210172
43	0.5244652144
44	0.5234581972
45	0.5223808612
46	0.5209959248
47	0.5194461989
48	0.5181493745
49	0.5170351488
50	0.5160644104
51	0.5148515534
52	0.5134012402
53	0.5125023363
54	0.5111939243
55	0.5105138875
56	0.5088509211
57	0.5072064086
58	0.5059317096
59	0.505025784
60	0.5039901748
61	0.5030448531
62	0.5009401511
63	0.4992666996
64	0.4981185615
65	0.4960276174
66	0.4945755865
67	0.4934189744
68	0.4916915891
69	0.49081584
70	0.4900743826
71	0.4886818459
72	0.487954401
73	0.4865136995
74	0.4854991935
75	0.4841764105
76	0.4829114401
77	0.4813865594
78	0.4797914538
79	0.4786848827
80	0.4776290145
81	0.476928767
82	0.475376043
83	0.4748718356
84	0.4740793045
85	0.473236621
86	0.4718437301
87	0.470214201
88	0.4695252401
89	0.4687820386
90	0.4674145171
91	0.4660640784
92	0.464733222
93	0.4637973773
94	0.4624848853
95	0.4614841064
96	0.4606268121
97	0.4596792937
98	0.4582936665
99	0.4572497856
100	0.4561872935
101	0.455182231
102	0.4539657076
103	0.4524852074
104	0.450768071
105	0.450205666
106	0.4492592261
107	0.4486103865
108	0.4476483697
109	0.4463015875
110	0.4454787849
111	0.444243482
112	0.4429790256
113	0.4422399305
114	0.4413070544
115	0.4404400008
116	0.4396703733
117	0.4389025634
118	0.4379466133
119	0.4367358763
120	0.4361530804
121	0.4356184734
122	0.4347992946
123	0.4334176524
124	0.432555314
125	0.431318588
126	0.4304585893
127	0.4295264307
128	0.4285485169
129	0.4276267895
130	0.4265703871
131	0.4255796913
132	0.4248323855
133	0.4241698503
134	0.4231312796
135	0.4223685578
136	0.4213410918
137	0.4203870148
138	0.4194078299
139	0.4186496854
140	0.4179486005
141	0.4167349662
142	0.4157731669
143	0.4155078043
144	0.4144399025
145	0.4130828618
146	0.4122279761
147	0.4115046323
148	0.4108239167
149	0.4101601272
