Date,Adj Close,Close,High,Low,Open,Volume,tic,type
2019-02-01,39.71846008300781,41.630001068115234,42.244998931884766,41.48249816894531,41.7400016784668,130672400,AAPL,stock
2019-02-04,40.84666442871094,42.8125,42.915000915527344,41.81999969482422,41.852500915527344,125982000,AAPL,stock
2019-02-05,41.545528411865234,43.54499816894531,43.77000045776367,43.087501525878906,43.21500015258789,144406400,AAPL,stock
2019-02-06,41.559844970703125,43.560001373291016,43.89250183105469,43.212501525878906,43.662498474121094,112958400,AAPL,stock
2019-02-07,40.772708892822266,42.73500061035156,43.48500061035156,42.584999084472656,43.099998474121094,126966800,AAPL,stock
2019-02-08,40.82062530517578,42.602500915527344,42.665000915527344,42.10499954223633,42.247501373291016,95280000,AAPL,stock
2019-02-11,40.585880279541016,42.35749816894531,42.8025016784668,42.3125,42.76250076293945,83973600,AAPL,stock
2019-02-12,40.935604095458984,42.72249984741211,42.75,42.42499923706055,42.525001525878906,89134000,AAPL,stock
2019-02-13,40.765533447265625,42.54499816894531,43.119998931884766,42.47999954223633,42.84749984741211,89960800,AAPL,stock
2019-02-14,40.91405487060547,42.70000076293945,42.814998626708984,42.345001220703125,42.4275016784668,87342800,AAPL,stock
2019-02-15,40.823020935058594,42.60499954223633,42.92499923706055,42.4375,42.8125,98507200,AAPL,stock
2019-02-19,40.945194244384766,42.73249816894531,42.86000061035156,42.372501373291016,42.4275016784668,75891200,AAPL,stock
2019-02-20,41.20869445800781,43.00749969482422,43.33000183105469,42.747501373291016,42.79750061035156,104457600,AAPL,stock
2019-02-21,40.97633361816406,42.76499938964844,43.092498779296875,42.57500076293945,42.95000076293945,68998800,AAPL,stock
2019-02-22,41.43386459350586,43.24250030517578,43.25,42.845001220703125,42.89500045776367,75652800,AAPL,stock
2019-02-25,41.73569107055664,43.557498931884766,43.967498779296875,43.48749923706055,43.540000915527344,87493600,AAPL,stock
2019-02-26,41.7596435546875,43.58250045776367,43.82500076293945,43.29249954223633,43.4275016784668,68280800,AAPL,stock
2019-02-27,41.88899230957031,43.717498779296875,43.75,43.182498931884766,43.3025016784668,111341600,AAPL,stock
2019-02-28,41.47697830200195,43.287498474121094,43.727500915527344,43.22999954223633,43.58000183105469,112861600,AAPL,stock
2019-03-01,41.91295623779297,43.74250030517578,43.787498474121094,43.22249984741211,43.56999969482422,103544800,AAPL,stock
2019-03-04,42.12374496459961,43.962501525878906,44.4375,43.49250030517578,43.92250061035156,109744800,AAPL,stock
2019-03-05,42.047096252441406,43.88249969482422,44.0,43.6349983215332,43.98500061035156,78949600,AAPL,stock
2019-03-06,41.80514907836914,43.630001068115234,43.872501373291016,43.48500061035156,43.66749954223633,83241600,AAPL,stock
2019-03-07,41.3212776184082,43.125,43.61000061035156,43.005001068115234,43.467498779296875,99185600,AAPL,stock
2019-03-08,41.41947937011719,43.227500915527344,43.26750183105469,42.375,42.58000183105469,95997600,AAPL,stock
2019-03-11,42.85435485839844,44.724998474121094,44.779998779296875,43.837501525878906,43.872501373291016,128044000,AAPL,stock
2019-03-12,43.33583450317383,45.227500915527344,45.66749954223633,44.842498779296875,45.0,129870400,AAPL,stock
2019-03-13,43.52748107910156,45.4275016784668,45.82500076293945,45.22999954223633,45.5625,124130000,AAPL,stock
2019-03-14,44.011356353759766,45.932498931884766,46.025001525878906,45.63999938964844,45.974998474121094,94318000,AAPL,stock
2019-03-15,44.5838623046875,46.529998779296875,46.83250045776367,45.935001373291016,46.212501525878906,156171600,AAPL,stock
2019-03-18,45.03899002075195,47.005001068115234,47.09749984741211,46.4474983215332,46.45000076293945,104879200,AAPL,stock
2019-03-19,44.682064056396484,46.63249969482422,47.247501373291016,46.47999954223633,47.087501525878906,126585600,AAPL,stock
2019-03-20,45.072532653808594,47.040000915527344,47.372501373291016,46.182498931884766,46.557498931884766,124140800,AAPL,stock
2019-03-21,46.732566833496094,48.772499084472656,49.08250045776367,47.45249938964844,47.505001068115234,204136800,AAPL,stock
2019-03-22,45.764808654785156,47.76250076293945,49.42250061035156,47.69499969482422,48.834999084472656,169630800,AAPL,stock
2019-03-25,45.21147537231445,47.185001373291016,47.994998931884766,46.650001525878906,47.877498626708984,175381200,AAPL,stock
2019-03-26,44.744346618652344,46.6974983215332,48.220001220703125,46.14500045776367,47.915000915527344,199202000,AAPL,stock
2019-03-27,45.14678955078125,47.11750030517578,47.439998626708984,46.63750076293945,47.1875,119393600,AAPL,stock
2019-03-28,45.20667266845703,47.18000030517578,47.38999938964844,46.88249969482422,47.23749923706055,83121600,AAPL,stock
2019-03-29,45.50131607055664,47.48749923706055,47.52000045776367,47.1349983215332,47.45750045776367,94256000,AAPL,stock
2019-04-01,45.81032180786133,47.810001373291016,47.91999816894531,47.095001220703125,47.90999984741211,111448000,AAPL,stock
2019-04-02,46.47625732421875,48.505001068115234,48.6150016784668,47.76250076293945,47.772499084472656,91062800,AAPL,stock
2019-04-03,46.79484939575195,48.837501525878906,49.125,48.287498474121094,48.3125,93087200,AAPL,stock
2019-04-04,46.87629699707031,48.92250061035156,49.092498779296875,48.28499984741211,48.6974983215332,76457200,AAPL,stock
2019-04-05,47.19009780883789,49.25,49.275001525878906,48.98249816894531,49.11249923706055,74106400,AAPL,stock
2019-04-08,47.932682037353516,50.025001525878906,50.057498931884766,49.084999084472656,49.10499954223633,103526800,AAPL,stock
2019-04-09,47.7889518737793,49.875,50.712501525878906,49.807498931884766,50.08000183105469,143072800,AAPL,stock
2019-04-10,48.05724334716797,50.154998779296875,50.185001373291016,49.54499816894531,49.66999816894531,86781200,AAPL,stock
2019-04-11,47.65720748901367,49.73749923706055,50.25,49.61000061035156,50.212501525878906,83603200,AAPL,stock
2019-04-12,47.63803482055664,49.717498779296875,50.03499984741211,49.0525016784668,49.79999923706055,111042800,AAPL,stock
2019-04-15,47.724266052246094,49.807498931884766,49.962501525878906,49.502498626708984,49.64500045776367,70146400,AAPL,stock
2019-04-16,47.72908020019531,49.8125,50.342498779296875,49.63999938964844,49.8650016784668,102785600,AAPL,stock
2019-04-17,48.65849685668945,50.782501220703125,50.845001220703125,49.65250015258789,49.8849983215332,115627200,AAPL,stock
2019-04-18,48.833370208740234,50.96500015258789,51.037498474121094,50.630001068115234,50.779998779296875,96783200,AAPL,stock
2019-04-22,48.99386215209961,51.13249969482422,51.23500061035156,50.584999084472656,50.70750045776367,77758000,AAPL,stock
2019-04-23,49.70050811767578,51.869998931884766,51.9375,50.974998474121094,51.10749816894531,93292000,AAPL,stock
2019-04-24,49.62385940551758,51.790000915527344,52.119998931884766,51.76250076293945,51.84000015258789,70162400,AAPL,stock
2019-04-25,49.17352294921875,51.31999969482422,51.939998626708984,51.279998779296875,51.70750045776367,74172800,AAPL,stock
2019-04-26,48.93876647949219,51.07500076293945,51.25,50.529998779296875,51.224998474121094,74596400,AAPL,stock
2019-04-29,49.013023376464844,51.15250015258789,51.49250030517578,50.96500015258789,51.099998474121094,88818800,AAPL,stock
2019-04-30,48.06922149658203,50.16749954223633,50.849998474121094,49.77750015258789,50.76499938964844,186139600,AAPL,stock
2019-05-01,50.4287223815918,52.630001068115234,53.82749938964844,52.307498931884766,52.470001220703125,259309200,AAPL,stock
2019-05-02,50.100547790527344,52.287498474121094,53.162498474121094,52.032501220703125,52.459999084472656,127985200,AAPL,stock
2019-05-03,50.72337341308594,52.9375,52.959999084472656,52.557498931884766,52.72249984741211,83569600,AAPL,stock
2019-05-06,49.94004821777344,52.119998931884766,52.209999084472656,50.875,51.0724983215332,129772400,AAPL,stock
2019-05-07,48.59381866455078,50.71500015258789,51.85499954223633,50.20750045776367,51.470001220703125,155054800,AAPL,stock
